date,ticker,side,call_prem_pct,size,return_pct,pnl_pu_pct,pnl_contribution_pct,in_recovery
2021-01-01,V,buy_call,3.1651,1,-11.6491,-3.1651,-0.031651,False
2021-01-01,VRTX,buy_call,3.1765,1,-3.0718,-3.1765,-0.031765,False
2021-01-01,VZ,skip,0.0,0,-6.8085,0.0,0.0,False
2021-01-01,WMT,skip,0.0,0,-2.1828,0.0,0.0,False
2021-01-01,XOM,buy_call,5.7339,1,8.7822,3.0483,0.030483,False
2021-01-01,ZTS,buy_call,3.1765,1,-6.7976,-3.1765,-0.031765,False
2021-02-01,AAPL,skip,0.0,0,-8.1085,0.0,0.0,True
2021-02-01,ABBV,skip,0.0,0,6.3623,0.0,0.0,True
2021-02-01,ABT,buy_call,3.0845,2,-2.6923,-3.0845,-0.06169,True
2021-02-01,ACN,skip,0.0,0,4.0664,0.0,0.0,True
2021-02-01,ADBE,skip,0.0,0,0.1962,0.0,0.0,True
2021-02-01,AMAT,buy_call,5.0332,2,22.2487,17.2155,0.34431,True
2021-02-01,AMD,skip,0.0,0,-1.3195,0.0,0.0,True
2021-02-01,AMGN,buy_call,2.6027,2,-6.8384,-2.6027,-0.052054,True
2021-02-01,AMT,buy_call,3.3063,2,-4.9393,-3.3063,-0.066126,True
2021-02-01,AMZN,skip,0.0,0,-3.5328,0.0,0.0,True
2021-02-01,AVGO,buy_call,5.0332,2,4.2997,-0.7335,-0.01467,True
2021-02-01,AXP,skip,0.0,0,16.7506,0.0,0.0,True
2021-02-01,BA,skip,0.0,0,9.1766,0.0,0.0,True
2021-02-01,BAC,skip,0.0,0,17.0658,0.0,0.0,True
2021-02-01,BKNG,skip,0.0,0,19.759,0.0,0.0,True
2021-02-01,BLK,skip,0.0,0,-0.9639,0.0,0.0,True
2021-02-01,BMY,skip,0.0,0,-0.1628,0.0,0.0,True
2021-02-01,BRK-B,skip,0.0,0,5.547,0.0,0.0,True
2021-02-01,C,skip,0.0,0,14.5742,0.0,0.0,True
2021-02-01,CAT,buy_call,4.2166,2,18.6987,14.4821,0.289642,True
2021-02-01,CHTR,skip,0.0,0,0.9645,0.0,0.0,True
2021-02-01,CI,buy_call,3.4282,2,-3.2942,-3.4282,-0.068564,True
2021-02-01,CMCSA,skip,0.0,0,6.8412,0.0,0.0,True
2021-02-01,COST,skip,0.0,0,-6.0806,0.0,0.0,True
2021-02-01,CRM,buy_call,4.3926,2,-4.0167,-4.3926,-0.087852,True
2021-02-01,CSCO,skip,0.0,0,1.4668,0.0,0.0,True
2021-02-01,CSX,skip,0.0,0,6.7514,0.0,0.0,True
2021-02-01,CVS,buy_call,3.4282,2,-4.2767,-3.4282,-0.068564,True
2021-02-01,CVX,buy_call,3.5674,2,17.3709,13.8035,0.27607,True
2021-02-01,DE,buy_call,4.2166,2,20.8864,16.6698,0.333396,True
2021-02-01,DHR,buy_call,3.0845,2,-7.6396,-3.0845,-0.06169,True
2021-02-01,DIS,skip,0.0,0,12.4101,0.0,0.0,True
2021-02-01,DUK,buy_call,2.7944,2,-8.9468,-2.7944,-0.055888,True
2021-02-01,EL,skip,0.0,0,20.7944,0.0,0.0,True
